s.no,Text in Hindi,Text in English,Is Correct,Comment
1,"दिल्लीवासियों पर बाढ़ का खतरा, एक बार फिर खतरे के निशान के पार पहुंचा यमुना नदी का जलस्तर","Flood threat to Delhiites, once again the water level of Yamuna river crossed the danger mark",TRUE,
2,"जयराम रमेश ने मोदी सरकारी पर आरोप लगाते हुए कहा कि उनका एकमात्र एजेंडा नेहरू और उनकी विरासत नकारना, बदनाम और नष्ट करना है।
","Jairam Ramesh accused the Modi government, saying that their only agenda is to deny, defame and destroy Nehru and his legacy.",TRUE,
3,"हिमाचल प्रदेश में पिछले 72 घंटों से लगातार जारी रही बारिश ने तबाही मचा दी है। मीडिया रिपोर्ट के मुताबिक, जगह-जगह बादल फटने और भूस्खलन से अब तक 58 लोगों की मौत गई।","In Himachal Pradesh, continuous rains for the last 72 hours have created havoc. According to media reports, 58 people have died so far due to cloudbursts and landslides at various places.",TRUE,
4,वृंदावन में बांके बिहारी मंदिर के पास ढह गई पुरानी बिल्डिंग,Old building collapsed near Banke Bihari temple in Vrindavan,TRUE,
5,"पाकिस्तान की कार्यवाहक सरकार ने देश में पेट्रोल का दाम  बढ़ाकर 290.45 रुपये प्रति लीटर कर दिया गया है, हाई स्पीड डीजल की कीमतें 20 रुपये","The caretaker government of Pakistan has increased the price of petrol in the country to Rs 290.45 per liter, high speed diesel prices by Rs 20.",,It's not clear from the Hindi text whether the high speed diesel prices are made 20 rupees or increased by 20 rupees.
6,5 दिन बाद भी गदर 2 का क्रेज लोगों के सिर चढ़कर बोल रहा है. इंडिपेंडेंस डे पर ताबड़तोड़ कलेक्शन कर गदर 2 ने इतिहास रच दिया है.,"Even after 5 days, the craze of Gadar 2 is talking on the heads of the people. Gadar 2 has created history by making a tremendous collection on Independence Day.",TRUE,
7,टीम इंडिया के लिए टी20 सीरीज में तीन खिलाड़ियों ने डेब्यू किया। यशस्वी जायसवाल के अलावा तिलक वर्मा और मुकेश कुमार को खेलने का मौका मिला।,"Three players made their debut in the T20 series for Team India. Apart from Yashasvi Jaiswal, Tilak Verma and Mukesh Kumar got a chance to play.",TRUE,
8,"हवाई स्थित माउई के जंगलों में पिछले हफ्ते से ही भीषण आग लगी है। इस आग को अमेरिका के 100 वर्षों के इतिहास में सबसे भीषण आग करार दिया गया है, जिसकी चपेट में आकर 99 लोगों की जान जा चुकी है। ","There has been a fierce fire in the forests of Maui in Hawaii since last week. This fire has been termed as the worst fire in the history of America in 100 years, due to which 99 people have lost their lives.",TRUE,
9, मेसी का इंटर मियामी के लिए यह छठा मैच था। उन्होंने सभी मुकाबले लीग कप में ही खेले हैं। उन्हें अभी तक मेजर लीग सॉकर में डेब्यू करने का मौका नहीं मिला है। मेसी ने छह मैच में नौ गोल दाग दिए हैं।,This was Messi's sixth match for Inter Miami. He has played all the matches in the league cup only. He is yet to make his debut in Major League Soccer. Messi has scored nine goals in six matches.,TRUE,
10,"एलन मस्क और मार्क जुकरबर्ग के बीच होने वाली फाइट की खबर से सोशल मीडिया पर खलबली मची हुई है। यह उम्मीद की जा रही है कि दोनों के बीच रिंग में फाइट देखना काफी रोमांचक होगा। हालांकि, लड़ाई को लेकर इन दोनों के बीच आरोप-प्रत्यारोप जारी हैं।","The news of the fight between Elon Musk and Mark Zuckerberg has created panic on social media. It is expected that the fight between the two will be very exciting to watch in the ring. However, allegations and counter-allegations continue between the two regarding the fight.",TRUE,
